id,firstName,middleName,lastName,gender,birthDate,ssn,salary
1,Fanchon,Georgeta,Wylma,Female,5/20/2020,537-80-6230,81273.63
2,Sandor,Bordie,Humbert,Male,3/12/2020,640-38-2361,11516.93
3,Quillan,Ara,Hillery,Male,2/3/2020,647-45-5964,37622.42
4,Tallie,Artemis,Urbain,Male,2/13/2020,714-11-1463,63124.83
5,Katharine,Elicia,Muire,Female,2/28/2020,869-39-9071,44189.54
6,Lavinie,Daffie,Xylia,Female,9/9/2020,280-89-8466,48111.47
7,Efrem,Emlen,Beau,Male,4/12/2020,533-59-2497,94346.03
8,Emmaline,Audy,Dorothee,Female,7/14/2020,356-96-4442,73595.17
9,King,Gaston,Jaimie,Male,1/27/2020,239-18-8955,5656.61
10,Roze,Crista,Sharleen,Female,12/14/2019,646-34-5885,39665.51
11,Agustin,Ferrell,Chaunce,Male,6/18/2020,172-53-1153,45295.43
12,Clerissa,Wilie,Leone,Female,9/15/2020,750-94-5487,33928.07
13,Tobie,Sullivan,Gasper,Male,3/27/2020,516-17-7750,93825.79
14,Tommy,Ervin,Nikki,Male,7/8/2020,245-82-0539,82578.55
15,Sampson,Jorge,Chic,Male,8/15/2020,185-58-9259,31507.68
16,Mallissa,La verne,Eleanora,Female,9/3/2020,413-15-7812,61681.69
17,Rhys,Arney,Gustavo,Male,3/14/2020,744-93-3629,9586.85
18,Delbert,Felicio,Chico,Male,8/26/2020,425-19-5864,49640.02
19,Ernaline,Drusie,Annetta,Female,7/4/2020,245-80-3821,86634.45
20,Alexio,Walther,Eddy,Male,9/15/2020,799-78-3232,14988.16
21,Adi,Maire,Jamie,Female,11/30/2020,665-07-5715,10095.53
22,Davis,Freddy,Eldin,Male,2/10/2020,204-59-8995,85454.98
23,Barbe,Beulah,Hedvige,Female,10/7/2020,418-75-8159,12349.95
24,Donnell,Reider,Garald,Male,3/20/2020,345-17-1956,98586.31
25,Stevie,Nilson,Beau,Male,10/31/2020,542-80-9201,63778.47
26,Gaultiero,Jaye,Lawry,Male,4/16/2020,500-57-9906,42195.22
